,Master US firm name,Master German firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum,IDed in HB GmbH,firm_name,searched,index,page,column,location,date,capital,business,persons,type,HB GmbH class,US_name,_merge
13,American Nickel Alloy Mfg. Corp.,Cosmo Montangesellschaft fuer metallurgische Interessen m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
14,International Telephone and Telegraph Corp.,Creed Telegraph Apparate G.m.b.H.,False,False,False,True,False,Creed Telegraphenapparate,1.0,444.0,239.0,left,Berlin,21. 12. 29,RM 1000 000,"Herstellung u. Vertrieb von Telegraphenapparaten, System Creed",Ludwig Badenius; Carl Kersten; Otto Emil Arthur Prause,1 Gf.,,,
15,International Business Machine Corp.,"Deutsche Hollerith Maschinen Gesellschaft, m.b.H.",True,True,False,True,False,Deutsche Hollerith-Maschinen-Gesellschaft,1.0,508.0,271.0,left,"Berlin W 35, Potsdamer Str. 112",30. 11. 10,RM 300 000,Erwerb der Dr. Hollerithsehen Patente und der Vertrieb der Hollerithschen Maschinen,W. Heidinger,2 Gf. od. 1 Gf. u. 1 Pk. od. 2 Pk.,,,
16,Royal Baking Powder Company,"Deutsche Royal Backpulver, Gesellschaft m.b.H, Berlin, Germany.",False,True,True,False,False,Deutsche Royal-Backpulver-Gesellschaft,1.0,522.0,278.0,left,"Berlin NW 7, Unter den Linden 70",24.11.28,RM 300 000,Einfuhr u. Vertrieb des unter der Bezeichnung „Royal“ im Verkehr befindlichen Backpulvers,Dr. S. Millner,Der Gf.,,,
17,"The Scholl Mfg. Co., Inc.",Deutsche Schollwerke G.m.b.H.,True,False,False,False,False,Deutsche Scholl-Werke für Fabrikate nach System Dr. Scholl,1.0,523.0,278.0,right,"Frankfurt a. M., Darmstadter Landstr. 224",20. 1. 22,RM 100 000,Not specified,Ernst Spier; F. J. Scholl,Jed. Gf. Einl.: RM 90 000 Forderung,,,
18,American Radiator & Standard Sanitary Corporation,Deutsche Standard Werke G. m. b. H.,False,False,True,False,False,,1.0,,,,,,,,,,,,
19,The Timken Roller Bearing Company,"Deutsche Timken G.m.b.H., of Berlin",False,True,False,True,False,Deutsche Timken,1.0,527.0,280.0,right,"Berlin-Tempelhof, Germaniastr. 86/87",14.11.18,RM 400000,"Distribution, trade, and manufacture of components for motor vehicles and vehicles for land, air, and water",Dr. M. Wrba,Der Gf.,,,
20,United Shoe Machinery Corporation,Deutsche Vereinigte Schuhmaschinen Gesellschaft,True,False,False,False,False,Deutsche Vereinigte Schuhmaschinen-Gesellschaft,1.0,528.0,281.0,left,"Frankfurt a. M., Mainzer Landstraße 147",14. 1. 99,RM 2 500 000,"Herstellung von Maschinen oder Teilen derselben, welche zur Behandlung von Schuhwaren dienen",G. Schröder; W. M. P. Hertz,1 Gf. Einl.: 2 Geschäftsniederlassungen der Internat. Goodyear Shoe Machin Co. und der United Shoe Mach. Co. P.K. Ffm. 1518.,,,
21,Worthington Pump and Machinery Corp.,Deutsche Worthington Gesellschaft m.b.H.,True,True,True,True,False,Worthington Pumpen- und Maschinenbau,1.0,2720.0,1377.0,left,"Berlin-Hohenschönhausen, Quitzowstr. 3-5",20.3.07,"RM 75,000","Fabrikation von Maschinen und Maschinenteilen jeder Art, insbesondere von Worthington- und Blakepumpen",Rob. R. Wilhelmi,1 Gf. od. 2 Pk.,,,
22,The Dorr Co.,Dorr Gesellschaft m.b.H.,True,False,False,True,False,Dorr,1.0,565.0,299.0,right,"Berlin W 62, Kielganstr. 1",3. 7. 25,RM 800 000,Herstellung und Vertrieb von Maschinen und Apparaten jeder Art,Bengst Wadsted,Jed. Gf. od. 2 Pk.,,,
23,Oliver United Filters Inc.,"Dorr-Oliver G.m.b.H., Berlin, Germany",False,True,False,False,False,,1.0,,,,,,,,,,,,
24,Pan American Foreign Corporation (Controlled by Standard Oil Co. [N. J.]),Ebano Asphalt Gesellschaft m.b.H.,False,False,True,False,False,Ebano Asphalt,1.0,590.0,312.0,left,"Hamburg, Mönckebergstr. 9",20. 12. 28,RM 1 000 000,"Vertrieb v. Asphalt, insbes. solchem, aus welchem Ebanorohöl gewonnen wird",F. A. Pabelick,Der Gf. od. 2 Gf. od. 1 Gf. u. 1 Pk.,,,
25,"Hugo Stinnes Industries, Inc.",Eisenhof G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
26,Arden Investing Co.,Elisabeth Arden G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
27,Pan Foreign Corporation,"Emas Gesellschaft Fuer Strassenbaubedarf, m.b.H.",True,False,False,False,False,,1.0,,,,,,,,,,,,
28,North European Oil Corp.,"Erdoelwerke Wathlingen, Wuerttembergische Mineralgesellschaft m.b.H.",False,False,True,False,False,Erdölwerke Wathlingen,1.0,672.0,353.0,left,"Hannover, Goseriede 5-6",21. 1. 21,RM 20 000,"Aufsuchung, Gewinnung und Verwertung von Erdölen, Errichtung von Anlagen und Fabriken",K. F. Hasselmann,Jed. Gf,,,
29,The Forak Company,Ethyl Gesellschaft m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
30,Pan American Foreign Corporation (Controlled by Standard Oil Co. [N. J.]),Euphalt Gesellschaft m.b.H.,False,False,True,False,False,Euphalt,1.0,691.0,362.0,right,"Frankfurt a. M., Schaumain Quai 101",31.8.26,RM 20 000,Herstellung und Vertrieb von Straßenbefestigungsmitteln,Dir. K. Meisenhelder; Alfr. Simokat; Dir. Wilh. Gast; Dr. phil. Arn. Caroselli,2 Gf. od. 1 Gf. u. 1 Pk.,,,
31,North European Oil Corp.,Explora G.m.b.H.,False,True,False,False,False,,1.0,,,,,,,,,,,,
32,American Cyanamid Company,Farsals-Gesellschaft m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
33,Fisk Rubber Co.,Fisk Tyre Co. m.b.H.,False,False,False,True,False,,1.0,,,,,,,,,,,,
34,"Hugo Stinnes Industries, Inc.",Fr. Wwe. Wesseling G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
35,Hugo Stinnes Corporation,"Freidreichstrasse, 12, G.m.b.H.",True,False,False,False,False,,1.0,,,,,,,,,,,,
36,"Hugo Stinnes Industries, Inc.","Freidreichstrasse, 12, G.m.b.H.",True,False,False,False,False,,1.0,,,,,,,,,,,,
37,"Hugo Stinnes Industries, Inc.",Fuhr-Betrieb G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
38,Seiberling Rubber Co.,"Fulda Rubber Co. of Fulda, Germany",False,True,False,False,False,,1.0,,,,,,,,,,,,
39,"New England Industries, Inc.",Fullnerwerk G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
40,"G. Hirsch Sons, Inc.","G. Hirsch & Sohn, G.m.b.H. Nuremberg, Germany",True,False,False,False,False,G. Hirsch & Sohn,1.0,1139.0,586.0,right,"Nürnberg, Kirschgartenstr. 80",29.9.22,"RM 200,000",Fortbetrieb einer Gold- und Silberspinnerei u. Weberei,H. Wassermann; A. Hirsch,Jed. Gf.,,,
41,"Hugo Stinnes Industries, Inc.",Gebrueder Boewen G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
42,"Hugo Stinnes Industries, Inc.",Gebrueder Born G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
43,General Motors Corporation (Overseas Operations),Gemeinnutsige Opel - Wohnban - G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
44,"Standard Commercial Tobacco Co., Inc.",German-American Tobacco Co.,False,True,False,False,False,German American Tobacco Company,1.0,844.0,439.0,left,"Berlin W 10, Lützowufer 17",27. 5. 31,RM 20 000,"Handel mit Tabak und Tabakserzeugnissen aller Art, insbesondere auch Einfuhr solcher Gegenstände aus Amerika",F. Wirth jun.,1 od. 2 Gf.,,,
45,"Mccann-Erickson, Inc.",Gesellschaft fur markt und schgerechte Werberatung,True,False,False,False,False,,1.0,,,,,,,,,,,,
46,North European Oil Corp.,Gewerkschaft Regina zu Caan,False,False,True,False,False,,1.0,,,,,,,,,,,,
47,International Finance Company,Gluckskles Import and Export Gesellschaft m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
48,Crown Cork International Corporation,"H. A. Bender Bohne, of Mannheim, Germany",False,True,False,False,False,,1.0,,,,,,,,,,,,
49,"Hugo Stinnes Industries, Inc.",H. B. Blumenthal,True,False,False,False,False,,1.0,,,,,,,,,,,,
50,"Hugo Stinnes Industries, Inc.",H. Westphal & Co.,True,False,False,False,False,Heinrich Westphal & Co.,1.0,2665.0,1349.0,right,"Berlin-Mariendorf, Schöneberger Str. 2/6",22. 6. 10,RM 60 000,Construction,P. Pachura; Frau Marie Pachura geb. Lemaur; Reinh. Pachura,2 Gf or 1 Gf and 1 Pk,,,
51,Swift and Company (Illinois),Hanseatische Grundbitz Gesellschaft m.b.H.,True,False,False,False,False,Hanseatische Grundbesitz-Gesellschaft,1.0,1044.0,539.0,left,Hamburg,13.11.20,RM 1 100 000,"Erwerb, Verwaltung und Verwertung von Grundstücken",Carl Nicolaus Witthöft; Karl Woodrow Wintermantle,2 Gf.,,,
52,The Hobart Manufacturing Company,"Hobart Maschinen Gesellschaft, m.b.H.",True,True,True,False,False,,1.0,,,,,,,,,,,,
53,United States Hoffman Machinery Corporation,Hoffman Bugelmaschinen Gesellschaft m.b.H.,True,False,True,True,False,Hoffman - Bügelmaschinen,1.0,1149.0,591.0,right,"Berlin - Charlottenburg 4, Waitzstr. 28",20.7.25,RM 200 000,Herstellung und Vertrieb von Bügelmaschinen jeder Art,J. E. Semmes; K. S. Cate; H. W. Stone; C. Wiedmer,1 Gf.,,,
54,"Hugo Stinnes Industries, Inc.",Holm & Molzen G.m.b.H.,True,False,False,False,False,Kohlenhandel Holm & Molzen,1.0,1368.0,701.0,left,"Flensburg, Zweign. Apenrade, Sonderburg, Hadersleben",24.1.18,RM 200 000,Handel mit Kohlen und Brennstoffen aller Art,Johann Holm,1 Gf.,,,
55,Schilling Estate Company,Holzwarth Gasturbinen,True,False,False,False,False,Holzwarth-Gasturbinen,1.0,1171.0,602.0,right,Mülheim-Ruhr,21. 9. 27,RM 120 000,"Verwertung von Patenten, Errichtung und Erwerb von Gasturbinenanlagen",Dr. - Ing. e. h. H. Holzwarth; Dr. K. Härle,2 Gf. gern.,,,
56,The Hoover Co.,Hoover G.m.b.H.,True,False,False,False,False,Hoover (Elektrische Apparate),1.0,1174.0,604.0,left,"Berlin W 62, Wittenbergplatz 1",13.11.25,"RM 750,000","Verkauf von Hoover-elektrischen Staubsaug-Apparaten, Zubehör- und Ersatzteilen",Ch. B. Colston,1 Gf.,,,
57,"Hugo Stinnes Industries, Inc.",Jacob Trefz & Soehne,True,False,False,False,False,,1.0,,,,,,,,,,,,
58,Remington Rand Inc.,Jahresuhren Fabrik G.m.b.H.,True,False,False,False,False,Jahresuhrenfabrik Aug. Schatz & Söhne,1.0,1244.0,639.0,left,Triberg,2. 7. 97,RM 660 000,Fabrikation von Uhren,A. Schatz; K. Schatz,Jed. Gf. R.K. P.K. Klr. 4514,,,
59,"Hugo Stinnes Industries, Inc.",Johann Lorenz Michel G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
60,International Agricultural Corporation,Kaliwerke Sollstedt Gewerkschaft,False,False,False,True,False,,1.0,,,,,,,,,,,,
61,Julius Kayser & Company,"Kayser Textile-Gesellschaft, m. b. H. in Saxony",False,True,True,False,False,„Kayser“ Textil-Gesellschaft,1.0,1301.0,667.0,right,"Chemnitz, Theaterstr. 78",6.8.22,RM 100000,Textil-Gesellschaft,P. R. Walther,1 Gf. od. 1 Pk.,,,
62,I. B. Kleinert Rubbert Company,"Kleinerts Hanseatische, Gummiwerke Gesellschaft mit beschankter Haftung",True,True,True,False,False,J. B. Kleinert Rubber Company,1.0,1330.0,682.0,left,"Hamburg, Moorfleth Elbdeich 58",20.12.07,"RM 100,000","Fabrikation und Vertrieb von Gummi, sowie Gummierung von Stoffen",Wolf gen. Willy Wolf; Dr. R. Levy,Jed. Gf.,,,
63,Eastman Kodak Company,Kodak Gesellschaft m. b. H.,False,False,True,False,False,,1.0,,,,,,,,,,,,
64,"Hugo Stinnes Industries, Inc.",Koenigsberger Kohlen & Koks G.m.b.H.,True,False,False,False,False,Königsberger Kohlen- und Kokshandels-Gesellschaft,1.0,1359.0,696.0,right,Königsberg i. Pr.,8.3.18,RM 6000,Handel mit Bergwerkserzeugnissen,Dir. Werner Schilling,Jed. Gf.,,,
65,Combustion Engineering Co. Inc.,"Kohlenscheidungs-Gesellschaft, m.b.H.",True,True,False,False,False,Kohlenscheidungs-Gesellschaft,1.0,1373.0,703.0,right,"Berlin W 35, Potsdamer Straße 24/25",8. 3. 21,RM 500 000,"Gewerbsmäßige Entwicklung von Einrichtungen zur Gewinnung, Aufbereitung und Veredelung von Brennstoffen, insbesondere Studien auf dem Gebiete der Kohlenchemie",Ing. Niels Frederik Nissen; Emil Cieslik; Ob.-Ing. Arnold Rühr; Dir. Georg Cantieny,1 od. 2 Gf. od. 1 Gf. u. 1 Pk. od. 2 Pk.,,,
66,Kraft Cheese Company,Kohler-Werke G.m.b.H.,True,False,False,True,False,,1.0,,,,,,,,,,,,
67,Corn Products Refining company,Maizenhaus Gesellschaft m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
68,"New England Industries, Inc.",Maschinen-Export G.m.b.H.,True,False,False,False,False,Deutsche Maschinen Export-Gesellschaft,1.0,515.0,274.0,right,"Berlin-Friedenau, Eschenstraße 7",2.8.24,RM 5000,,R. Jänicke,Der Gf.,,,
69,"Robert Reiner, Incorporated",Maschinenfabril EINSIEDEL G.m.b.H.,True,False,False,False,False,Maschinenfabrik Einsiedel,1.0,1587.0,810.0,right,Einsiedel,7.6.22,RM 500 000,Herstellung und Vertrieb von Maschinen der graphischen Branche,W. Wernet; K. Goliasch,2 Gf.,,,
70,Gulf Oil Corporation,Maschinenoel Import Gesellschaft m.b.H.,True,False,False,False,False,Maschinenöl Import,1.0,1593.0,813.0,right,"Hamburg, Glockengießerwall 1",2.1.14,RM 1 000 000,Import und Handel mit Mineral- und Schmierölen,Phil. Max Hayn; G. A. Rahe,1 Gf. od. 2 Pk.,,,
71,Metallic Products Corp. c/o US Corp. Co.,Metallpulver G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
72,The Torrington Company,"Metallwaaren Gesellschaft m. b. H., of Aachen",False,True,True,True,False,,1.0,,,,,,,,,,,,
73,Corn Products Refining company,Mondamin Gesellschaft,True,False,False,False,False,Mondamin,1.0,1690.0,862.0,left,"Berlin-Charlottenburg 9, Kaiserdamm 75/76",11.9.13,"RM 600,000","Herstellung und Vertrieb von Nahrungs- und Genußmitteln, besonders des unter dem Namen „Mondamin“ bekannten Präparates",Alfred Pieleng; Joh. Hesse; Eugen Stiller,2 Gf. od. 1 Gf. u. 1 Pk.,,,
74,Armour & Company,Morris & Co. G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
75,Moto Meter Gauge & Equipment Corp.,"Moto Meter Gesellschaft, m. b. H.",False,True,True,False,False,Moto-Meter,1.0,1698.0,866.0,left,"Frankfurt a/M., Eschenborner Landstr. 5",18.8.22,RM 120000,Herstellung und Vertrieb von Moto-Meter und mechanischen Apparaten,Hermann Schlaich; Albert Hauser,1 Gf.,,,
76,"Hugo Stinnes Industries, Inc.",Muelberger & Co. G.m.b.H.,True,False,False,False,False,H. Mülberger & Co.,1.0,1704.0,869.0,left,"Speyer, St. Guidostiftsplatz 5",13.5.22,RM 150 000,Handel mit Kohlen und anderen Waren,Adolf Mühlberger,Jed. Gf.,,,
77,Gulf Oil Corporation,Nobel-Good-Group,False,True,False,False,False,,1.0,,,,,,,,,,,,
78,Standard Oil Company (New Jersey),Norddeustche Mineraloelwerke Stettin G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
79,North European Oil Corp.,Nordeuropaeische Oelgesellschaft m.b.H.,False,False,True,False,False,,1.0,,,,,,,,,,,,
80,Witroth Corporation,Oppelener Lagerhaus Gesellschaft,True,False,False,False,False,Oppelner Verlade- und Lagerhaus-Gesellschaft Albert Koerber,1.0,1827.0,930.0,right,Oppeln,17. 7. 15,RM 105 000,"Lagerung, Verladen von Waren aller Art und Kohlenbetrieb",C. Reinhard; K. Langosch,1 Gf.,,,
81,Colgate-Palmolive-Peet Co.,Palmolive-Binder & Ketals G.m.b.H.,True,False,True,True,False,Palmolive,1.0,1857.0,945.0,right,"Berlin SW 11, Stresemannstr. 90",12.11.25,RM 3 300 000,Manufacture and trade of toilet soaps,Lewis M. Prince,1 Gf,,,
82,The Permutit Company,Permutit Filter Co. G.m.b.H.,True,False,False,False,False,Permutit-Filter-Co.,1.0,1880.0,957.0,left,"Berlin-Britz, Riedelstr. 1/3",2.7.09,"RM 20,000",Herstellung und Vertrieb von Filtern u. Filteranlagen,M. Fuchs; R. Gerber,1 Gf.,,,
83,Hugo Stinnes Corporation,Rastatter Eisenhandel G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
84,International Affiliated Corporation,Richard Hudnut G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
85,Richard Hudnut,Richard Hudnut G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
86,International Telephone and Telegraph Corp.,"Rohr & Seilpost Anlagen, G.m.b.H.",True,False,False,True,False,Rohr- und Seilpost-Anlagen (Mix & Genest),1.0,2052.0,1043.0,left,"Berlin-Schöneberg, Geneststr. 5",13. 2. 08,RM 200 000,"Herstellung, Verkauf, Einrichtung und Betrieb von Rohr- und Seilpostanlagen für den Transport von Geldern, Briefen, Urkunden, Büchern und Paketen",C. Beckmann; W. Fuß,"2 Gf. Einl.: Patente und Gebrauchsmuster, Darlehnsforderung",,,
87,"United Statess Lines, Co.","Rosskai, G.m.b.H.",True,False,False,False,False,,1.0,,,,,,,,,,,,
88,Gillette Safety Rasor Company,"Roth-Buchner, G.m.b.H.",True,False,False,True,False,,1.0,,,,,,,,,,,,
89,Corn Products Refining company,Saatsuchwirtschaft C. Braune G.m.b.H.,True,False,False,False,False,C. Braune,1.0,314.0,174.0,left,Bernburg,15.2.16,"RM 600,000",Betrieb der Landwirtschaft und Samenzucht und Pflanzenzucht und Handel,C. Braune; F. Braune,2 Gf. Einl.: Geschäft. P.K. Bin. 8475,,,
90,The Atlantic Refining Company,"Schlafhorst Chemische Werke, G.m.b.H.",True,False,False,False,False,,1.0,,,,,,,,,,,,
91,Submarine Signal Co.,Signal Gesellschaft m.b.H.,True,False,False,False,False,Signal,1.0,2248.0,1141.0,left,Kiel,10.4.11,Kapital nicht veröffentlicht,Verwertung von Signalvorrichtungen für Marinezwecke,Dir. Walther Dietrich,1 Gf.,,,
92,Spirella International Incorporated,Spirella Gesellschaft m.b.H.,True,False,False,False,False,Spirella,1.0,2281.0,1157.0,right,Nowawes-Potsdam,5.8.29,RM 500 000,"Herstellung, Import, Export, An- u. Verkauf, wie überhaupt der Handel mit Spirella-Waren aller Art, insbes. mit Spirella-Korsetts und Bandagen",J. W. Stewart,1 Gf.,,,
93,"Aris Cloves Co., Inc.",Steinberger Bros.,True,False,False,False,False,Steinberger Bros. Giove Corporation,1.0,2309.0,1171.0,right,"Berlin NW 7, Unter d. Linden 53",29.11.27,"RM 50,000",Vertrieb u. Export von Handschuhen,Paul Philippi,1 od. 2 Gf.,,,
94,International Telephone and Telegraph Corp.,Suddeutsche Apparatefabrik Gesellschaft m.b.H.,True,False,False,True,False,Süddeutsche Apparatefabrik,1.0,2350.0,1192.0,left,"Nürnberg, Allersbergerstraße 185",4.10.1929,RM 1 000 000,"Herstellung und Vertrieb von Fernmelde-, Signal- und Rundfunkgeräten",,Not specified,,,
95,Pan American Foreign Corporation (Controlled by Standard Oil Co. [N. J.]),Teerbaustoff Gesellschaft m.b.H.,False,False,True,False,False,,1.0,,,,,,,,,,,,
96,International Telephone and Telegraph Corp.,Telmo Telephon und Telegraphen Gesellschaft m.b.H.,True,False,False,True,False,"Telmo, Telefon- und Telegrafen-Gesellschaft",1.0,2391.0,1212.0,right,"Berlin-Tempelhof, Lorenzweg",11.7.21,RM 400 000,"Installation von Telefon- u. Telegrafen- u. sonst, elektrotechnischen Apparaten",M. Seligmann; Dir. Ernst Sabersky,2 Gf. od. 1 Gf. u. 1 Pk.,,,
97,"Berth, Levi & Co. Inc.",The Overseas Casing Co. m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
98,Corn Products Refining company,"Transport und Lagerhaus Gesellschaft, m.b.H.",True,False,False,False,False,Transport- und Lagerhaus-Gesellschaft,1.0,2444.0,1239.0,left,Barby,29.5.16,"RM 650,000",Transport- und Lagereigeschäfte aller Art,E. G. Herm. Dircks; Willy Fritze; Rich. Pauli,2 Gf. od. 1 Gf. u. 1 Pk.,,,
99,Trubenizing Process Corporation,"Trubenis Lisensverwertungs, G.m.b.H.",True,False,False,False,False,,1.0,,,,,,,,,,,,
100,United Fruit Company,"Unida Schiffstreuhand, G.m.b.H.",True,False,False,False,False,,1.0,,,,,,,,,,,,
101,Union Special Machine Co.,Union Special Maschinenfabrik G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
102,United Press Associations,United Press (Deutschland) G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
103,Pan Foreign Corporation,Vereinigte Asphalt und Teerproducktenfabriken Gesellschaft mit Beschrankter Haftung,True,False,False,False,False,,1.0,,,,,,,,,,,,
104,The ARMCO International Corporation,Vereinigte Stahlwerke,False,False,False,True,False,,1.0,,,,,,,,,,,,
105,"William R. Warner & Co., Inc.","Warner, W.R. and Co. G.m.b.H.",True,False,False,False,False,W. R. Warner & Co.,1.0,2600.0,1317.0,left,"Berlin-Charlottenburg, Kaiserin-Augusta-Allee 86",12. 4. 27,RM 300 000,Herstellung und Verkauf von pharmazeutischen und kosmetischen Präparaten,Leonhard M. Klustinger,1 Gf.,,,
106,Waterman Steamship,Waterman Linien (Vertretung Bremen) G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
107,"Standard Commercial Tobacco Co., Inc.",Werkhof G.m.b.H.,True,False,False,False,False,Werkhof,1.0,2634.0,1334.0,left,"Bremen, Panzenberg 7",31.12.10,RM 1000 000,Herstellung und Vertrieb von Zigaretten und anderen Tabakwaren,John Ehlers,1 od. 2 Gf. od. 1 Gf. u. 1 Pk.,,,
108,"Socony-Vacuum Oil Company, Inc.",West-Oel Gesellschaft m.b.H.,True,True,True,False,False,West Oel,1.0,2665.0,1349.0,right,Hannover,14. 4. 29,RM 20 000,Oil Exploration and Acquisition of Lease Rights,K. F. Hasselmann,Jed. Gf,,,
109,The Westinghouse Air Brake Company,Westinghouse Bremsen Gesellschaft m.b.H.,True,False,False,False,False,Westinghouse-Breinsen-Gesellschaft,1.0,2664.0,1349.0,left,"Hannover, Goetheplatz 7, Zweign. Elze",27.9.12,"RM 960,000","Übernahme und Fortbetrieb des Fabrik- und Handelsgeschäfts, insbesondere Anfertigung und Vertrieb von Bremsen u. anderen Bedarfsgegenständen für Eisenbahnen und Straßenbahnen",N. Kemmer,1 Gf.,,,
110,Gillette Safety Rasor Company,Zoellner Werke G.m.b.H.,True,False,False,False,False,,1.0,,,,,,,,,,,,
111,"Swiss ""Borvisk"" Company","""Borvisk"" Kunstseiden-Vertriebsgesellschaft, m.b.H.",True,False,False,False,False,Borvisk-Kunstseiden Vertriebsgesellschaft,,299.0,166.0,right,"Berlin W 62, Maaßenstr. 36",26.5.15,RM 40 000,Herstellung von Kunstseide,Dr. jur. E. Wohrizek; Alfr. Demant,2 Gf. od. 1 Gf. u. 1 Pk. od. 2 Pk.,,,
112,International Telephone and Telegraph Corp.,"""Volta"" Telephon & Signalbau G.m.b.H.",True,False,False,True,False,Volta Telephon- und Signalbau,,2573.0,1303.0,right,"Berlin W 35, Potsdamei-Straße 38",1.7.05,RM 268 000,"Installation, Verkauf von Telefon-, Telegrafen- u. sonstigen Anlagen",A. Hoffmann; L. Hoepfner,2 Gf. gern.,,,
113,Jadev Corporation,"Allgemeine Erdol Gesellschaft, m.b.H.",True,False,False,False,False,Allgemeine Erdölgesellschaft,,34.0,34.0,right,Oldenburg,21. 8. 24,RM 20 000,Erdöl,Chester Naramore; Todd M. Pettigrew,Jed. Gf.,,,
